Title,Links,VideoLink,ScrapedData
SPRING ABERCROMBIE AND FITCH HAUL | SPRING HAUL 2024,"https://rstyle.me/+StTDgwXXE8352sPDHVJg9Q
https://rstyle.me/+Rt1Fs5m07f2aAIkO6Q9rzQ
https://rstyle.me/+7s4yhOPCfSU0ZvjTeNrnpg
https://rstyle.me/+Rl1q0Q3FUpF9-5c_cbaYTQ
https://rstyle.me/+nVGtLLYo74cKU2I9FGQrgQ
https://rstyle.me/+ZO-gEOjJI19nU3azWPtxoA
https://rstyle.me/+mzkgNnxFNBN8BshcDtic4A
https://rstyle.me/+Hbs75JwkCkUcXhPsl6BSmQ
https://rstyle.me/+1YclvNEXHfYdJf88x0Id3w
https://rstyle.me/+_AH2ubzvHZ0eySHHBOs9Ow
https://rstyle.me/+pLOR6YKuF4ts6kbA2ZpcZA
https://rstyle.me/+wW4oFnQmbBVc1N6bDQobAg
https://liketk.it/4CGgv
https://rstyle.me/+pC0_mnmayq8r1r0p8DrcAw
https://www.liketoknow.it/rosegoldfashionblog
https://www.rosegoldfashionblog.com
https://poshmark.com/closet/kerrik3
https://amzn.to/3SB5MaV
https://community.abercrombie.com/a/kerri.k",https://www.youtube.com/watch?v=kYILnAdWKYk,"{'item': 'Cropped Squareneck Rib Tank', 'cotton': 95, 'elastane': 5}
{'item': 'Curve Love High Rise Dad Short', 'cotton': 99, 'elastane': 1}
{'item': 'Vintage Sunday Short', 'cotton': 70, 'polyester': 30}
{'item': 'Summer Destination Vintage Sunday Crew', 'cotton': 70, 'polyester': 30}
{'item': 'Linen-Blend Pull-On Pant', 'linen': 55, 'viscose': 45}
{'item': 'Linen-Blend Set Top', 'linen': 55, 'viscose': 45}
{'item': 'The A&F Scarlett Linen-Blend Wrap Mini Skort', 'linen': 55, 'viscose': 45}
{'item': 'Premium Linen Scallop-Hem Set Top', 'linen': 100}
{'item': 'Premium Linen Scallop-Hem Mini Skort', 'linen': 100}
{'item': 'Clean Waist Premium Linen Trouser', 'linen': 100}
{'item': 'Essential Scoopneck Tank', 'cotton': 95, 'elastane': 5}
{'item': 'Curve Love High Rise 4"" Mom Short', 'cotton': 99, 'elastane': 1}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
"
ABERCROMBIE AND FITCH JEANS TRY ON HAUL | COMPARING THE 90S RELAXED JEANS TO THE LOOSE JEANS,"https://rstyle.me/+6cZ5IEuV6i3MAAz4UJ_Ndg
https://rstyle.me/+qEuJsrMskKNYjt2ItJ9MWA
https://rstyle.me/+gVyisr15fNNvFa5m876Ojg
https://community.abercrombie.com/s/kerri.k/shop/us/p/curve-love-high-rise-90s-relaxed-jean-51863827?faceout=model&seq=23&irclickid=Q9W2azVSYxyPUlD0XkQApWnMUkH31P0WPVkIRU0&irgwc=1&cmp=AFF%3A116548%3ALTK%3AONLINE_TRACKING_LINK%3AOnline%20Tracking%20Link
https://rstyle.me/+8hnLxrBiNqum5Cn8JKUSMA
https://rstyle.me/+E8_7nyJJ1-bn_rKVOXsZvA
https://rstyle.me/+8hnLxrBiNqum5Cn8JKUSMA
https://community.abercrombie.com/s/kerri.k/shop/us/p/curve-love-high-rise-loose-jean-55497982?faceout=model&seq=29
https://rstyle.me/+PkIb6Gko3f-rnVuX14kDTw
https://community.abercrombie.com/s/kerri.k/shop/us/p/curve-love-high-rise-90s-relaxed-jean-53250520?faceout=life&seq=40
https://rstyle.me/+8hnLxrBiNqum5Cn8JKUSMA
https://community.abercrombie.com/s/kerri.k/shop/us/p/curve-love-high-rise-90s-relaxed-jean-55497976?faceout=model&seq=69
https://rstyle.me/+xsMfRUdAvY6C-ANPvh1edw
https://www.liketoknow.it/rosegoldfashionblog
https://www.rosegoldfashionblog.com
https://poshmark.com/closet/kerrik3
https://amzn.to/3SB5MaV
https://community.abercrombie.com/a/kerri.k",https://www.youtube.com/watch?v=94eF0GgR7rU,"{'item': 'Cotton-Blend Seamless Fabric Tank Bodysuit', 'materials': 'No body material info available.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'Curve Love High Rise 90s Relaxed Jean', 'cotton': 99, 'elastane': 1}
{'item': 'Curve Love High Rise 90s Relaxed Jean', 'cotton': 99, 'elastane': 1}
{'item': 'Curve Love High Rise Loose Jean', 'cotton': 78, 'lyocell': 22}
{'error': 'Link no longer available or missing data.'}
{'item': 'Curve Love High Rise Loose Jean', 'cotton': 78, 'lyocell': 22}
{'error': 'Link no longer available or missing data.'}
{'item': 'Curve Love High Rise Loose Jean', 'cotton': 77, 'lyocell': 23}
{'item': 'Curve Love High Rise 90s Relaxed Jean', 'cotton': 99, 'elastane': 1}
{'item': 'Curve Love High Rise Loose Jean', 'cotton': 78, 'lyocell': 22}
{'error': 'Link no longer available or missing data.'}
{'item': 'Curve Love High Rise 90s Relaxed Jean', 'cotton': 99, 'elastane': 1}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
"
Abercrombie and Fitch Spring 2024 Haul: Warm Weather Chic Finds!,"http://bit.ly/2Jh5u8B
https://bit.ly/3PSFkdb
https://go.shopmy.us/p-4721853
https://amzlink.to/az02TmX71GPSy
https://go.shopmy.us/p-4721909
https://bit.ly/3QBnWKr
https://amzlink.to/az0SFaD3bc0IU
https://amzlink.to/az0oQZb8eOg8i
https://amzlink.to/az0t6IHQkxLx9
https://bit.ly/4d7xDJR
https://go.shopmy.us/p-4721864
https://go.shopmy.us/p-4722045
https://bit.ly/49O3KvX
https://bit.ly/3QBzcXd
https://amzlink.to/az0t6VEfY0ZGJ
https://amzlink.to/az0lGO4cPwYDe
https://amzlink.to/az0dhdF6YbYgq
https://amzlink.to/az0WRswSejPJT
https://bit.ly/49NNgn7
https://bit.ly/3QcUVV9
https://amzlink.to/az0M40IrhPKHe
https://go.shopmy.us/p-4721853
https://quince.sjv.io/KjAm4n
https://www.threads.net/@missmoorestyle
https://www.missmoorestyle.com
https://poshmark.com/closet/missmoorestyle
https://amzlink.to/az0UAPk4ReTfD
https://amzlink.to/az04kktSULsZO
https://amzlink.to/az0ttrgHpFOws
https://amzlink.to/az0Mhx2HVOVWI
https://amzlink.to/az01emrBFhmQj
https://amzlink.to/az0dd7IyPJvbL
https://amzlink.to/az0OzpVl5SyJ6
https://amzlink.to/az0814UWnKRrV
https://www.epidemicsound.com/referral/hkwgfw/
https://amzlink.to/az0qvZLocOH6m",https://www.youtube.com/watch?v=9q6M5_6-VG0,"{'error': 'Link no longer available or missing data.'}
{'item': 'Utility Wrap Mini Dress', 'cotton': 97, 'elastane': 3}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'Off-The-Shoulder Ruffle Midi Dress', 'cotton': 60, 'polyester': 40}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'Curve Love Ultra High Rise 90s Straight Jean', 'cotton': 99, 'elastane': 1}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'Sheer High-Neck Set Top', 'materials': 'No body material info available.'}
{'item': 'Curve Love A&F Sloane Tailored Pant', 'polyester': 80, 'viscose': 16, 'elastane': 4}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
"
HUGE Abercrombie and Fitch Fall Try On Haul 🍁,"https://liketk.it/4i3Qm
https://bit.ly/45XWFGZ
https://bit.ly/3YPtIuE
https://bit.ly/3KXyalf
https://bit.ly/44lWPH3
https://bit.ly/3YRexRv
https://bit.ly/3sMVADA
https://bit.ly/3Pbhfy4
https://bit.ly/3qO4roc
https://bit.ly/3Ebau9f
https://bit.ly/3QSzz0c
https://bit.ly/3YRexRv
https://bit.ly/45HzZdZ
https://bit.ly/44pZBLz
https://o.bttn.io/06YDXMnzRAg
https://amzlink.to/az0uGjI2qUkm3
https://bit.ly/45y8HqC
https://bit.ly/3qvPXJy
https://amzlink.to/az0eOqlu8RHue
https://bit.ly/3Yrlx7F
https://www.liketoknow.it/danaberez
https://www.amazon.com/shop/danaberez
https://www.danaberez.com
https://www.amazon.com/shop/danaberez/list/2SD9NNMVUY0EB",https://www.youtube.com/watch?v=WQGZXNChn-M,"{'error': 'Link no longer available or missing data.'}
{'item': 'Ultra High Rise 90s Straight Jean', 'cotton': 99, 'elastane': 1}
{'item': 'High Rise 90s Relaxed Jean', 'cotton': 99, 'elastane': 1}
{'item': 'Ultra High Rise 90s Slim Straight Jean', 'cotton': 99, 'elastane': 1}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': '90s Relaxed Denim Jumpsuit', 'cotton': 78, 'lyocell': 22}
{'error': 'Link no longer available or missing data.'}
{'item': 'Vegan Leather Cargo 90s Relaxed Pant', 'materials': 'No body material info available.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'High Rise Cuffed Tailored Straight Pant', 'recycled': 41, 'polyester': 32, 'viscose': 21, 'elastane': 6}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
"
ABERCROMBIE AND FITCH TRY ON HAUL | 10 SPRING OUTFITS ON SALE,"https://community.abercrombie.com/s/kerri.k
https://rstyle.me/+XEDb1gMI8pZOFI5E56Y-ow
https://rstyle.me/+Rt1Fs5m07f2aAIkO6Q9rzQ
https://rstyle.me/+8hnLxrBiNqum5Cn8JKUSMA
https://rstyle.me/+aBoIG0FMPyqpJxP77YBNlg
https://rstyle.me/+7hz8out1nQ7QcQ39J_rpWw
https://rstyle.me/+endaXP7LUqc4zvyuXfAgYw
https://rstyle.me/+cTR9sXJ4MShxMSu9eRuNkQ
https://rstyle.me/+xXF2ZROSt12fgRrFl9zcJA
https://liketk.it/4waF3
https://rstyle.me/+4hr7RLeMkDhFWYctAm9JjQ
https://rstyle.me/+nbzrxMwpDOO1Qqa3TcveQg
https://rstyle.me/+rDNxBX8B1faxl6v4pRUtiQ
https://liketk.it/4waLC
https://rstyle.me/+rDNxBX8B1faxl6v4pRUtiQ
https://rstyle.me/+FtrPOm67kP-qYZQGdzdD9w
https://rstyle.me/+Rt1Fs5m07f2aAIkO6Q9rzQ
https://rstyle.me/+cTR9sXJ4MShxMSu9eRuNkQ
https://rstyle.me/+cTR9sXJ4MShxMSu9eRuNkQ
https://rstyle.me/+PL4q9urSfCs1r_sdc6toLQ
https://rstyle.me/+MjIQbMPlq4vgOuaZIOBbDg
https://liketk.it/4wbUw
https://rstyle.me/+XEDb1gMI8pZOFI5E56Y-ow
https://rstyle.me/+8hnLxrBiNqum5Cn8JKUSMA
https://rstyle.me/+cp1fU5BghUgQG_gPvOcL0Q
https://rstyle.me/+iKakADjSFmvjLq-nZKbzYg
https://rstyle.me/+asK3xivQsGlImHQWDuOebQ
https://rstyle.me/+2g2JRP-5ztWREgC1LQixDg
https://rstyle.me/+HngRuxFVwP_dEGZnjuEunA
https://rstyle.me/+nWXKZX84qc0oS9d8b97QuA
https://rstyle.me/+Rt1Fs5m07f2aAIkO6Q9rzQ
https://rstyle.me/+GWC9ysqT8w7tGOUpY68Sjw
https://rstyle.me/+endaXP7LUqc4zvyuXfAgYw
https://rstyle.me/+Rt1Fs5m07f2aAIkO6Q9rzQ
https://rstyle.me/+iz8hKRC6uMSi6ieUyNbPjg
https://rstyle.me/+cTR9sXJ4MShxMSu9eRuNkQ
https://rstyle.me/+djINznFy5m1yfUb5woMGwQ
https://rstyle.me/+Zh3dGWG8JcxzgApKn0EScQ
https://rstyle.me/+-T9uIsNFdmw7_I3zBk98nw
https://www.liketoknow.it/rosegoldfashionblog
https://www.rosegoldfashionblog.com
https://poshmark.com/closet/kerrik3
https://amzn.to/3SB5MaV",https://www.youtube.com/watch?v=fUqD3VLAV6M,"{'error': 'Link no longer available or missing data.'}
{'item': 'Curve Love High Rise Loose Short', 'cotton': 78, 'lyocell': 22}
{'item': 'Curve Love High Rise Dad Short', 'cotton': 99, 'elastane': 1}
{'item': 'Curve Love High Rise Loose Jean', 'cotton': 78, 'lyocell': 22}
{'item': 'YPB sculptLUX Curve Love 7/8-Length Leggings', 'polyester': 78, 'elastane': 22}
{'error': 'Link no longer available or missing data.'}
{'item': 'Curve Love A&F Sloane Tailored Short', 'polyester': 80, 'viscose': 16, 'elastane': 4}
{'item': 'Shrunken Sunday Hooded Full-Zip', 'cotton': 70, 'polyester': 30}
{'item': 'Vintage Sunday Short', 'cotton': 70, 'polyester': 30}
{'error': 'Link no longer available or missing data.'}
{'item': 'Classic Suiting Blazer', 'materials': 'No body material info available.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'The A&F Scarlett Mini Skort', 'polyester': 80, 'viscose': 16, 'elastane': 4}
{'error': 'Link no longer available or missing data.'}
{'item': 'The A&F Scarlett Mini Skort', 'polyester': 80, 'viscose': 16, 'elastane': 4}
{'error': 'Link no longer available or missing data.'}
{'item': 'Curve Love High Rise Dad Short', 'cotton': 99, 'elastane': 1}
{'item': 'Shrunken Sunday Hooded Full-Zip', 'cotton': 70, 'polyester': 30}
{'item': 'Shrunken Sunday Hooded Full-Zip', 'cotton': 70, 'polyester': 30}
{'item': 'Essential Oversized Cargo Sunday Sweatpant', 'cotton': 70, 'polyester': 30}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'Curve Love High Rise Loose Short', 'cotton': 78, 'lyocell': 22}
{'item': 'Curve Love High Rise Loose Jean', 'cotton': 78, 'lyocell': 22}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'Crew Pearl Button Cardigan', 'acrylic': 78, 'nylon': 22}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'Curve Love High Rise Dad Short', 'cotton': 99, 'elastane': 1}
{'item': 'Square Skinny Belt', 'materials': 'No body material info available.'}
{'item': 'Curve Love A&F Sloane Tailored Short', 'polyester': 80, 'viscose': 16, 'elastane': 4}
{'item': 'Curve Love High Rise Dad Short', 'cotton': 99, 'elastane': 1}
{'error': 'Link no longer available or missing data.'}
{'item': 'Shrunken Sunday Hooded Full-Zip', 'cotton': 70, 'polyester': 30}
{'item': 'Essential Sunday Sweatpant', 'cotton': 70, 'polyester': 30}
{'error': 'Link no longer available or missing data.'}
{'item': 'Oval Buckle Belt', 'materials': 'No body material info available.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
"
ABERCROMBIE AND FITCH 2024 SPRING TRY ON HAUL | Midsize Woman Try On Clothes,"https://rstyle.me/+8JGw_u5I0kxnjRnBoWvC_w
https://rstyle.me/+HTweNP1ZOy8LUk1kd3-nCQ
https://rstyle.me/+UiTrF4lwY_cy8amTt-KK7w
https://rstyle.me/+VXbEVRkBG-n6zEh2SLX_dA
https://rstyle.me/+w-KA_NBccTApptZutyiDVw
https://poshmark.com/closet/contactdiaphnie",https://www.youtube.com/watch?v=lhcs0bCcmlI,"{'item': 'Long-Sleeve Poplin Shirt Dress', 'cotton': 100}
{'item': 'A&F Sloane Tailored Short', 'polyester': 80, 'viscose': 16, 'elastane': 4}
{'item': 'Curve Love Tailored Straight Pant', 'polyester': 80, 'viscose': 16, 'elastane': 4}
{'item': 'The A&F Mara Button-Up Sweater Vest', 'cotton': 60, 'nylon': 20}
{'item': 'Curve Love Ultra High Rise 90s Straight Jean', 'cotton': 99, 'elastane': 1}
{'error': 'Link no longer available or missing data.'}
"
"ABERCROMBIE AND FITCH Fall/Winter Try On Haul: Miniskirts, Jackets, Sweaters + More!","https://rstyle.me/+qEuJsrMskKNYjt2ItJ9MWA
https://rstyle.me/+N76KzhjceRbZu-URezbLqw
https://rstyle.me/+lPqtc3iI4g1Do94qYxzL2w
https://rstyle.me/+JjR-2HMsoXCIElryUbSc0g
https://rstyle.me/+CMeqd4xfM1V0TK21QI_hzA
https://rstyle.me/+JXhOXVlhAlXU9n9N9gbvvg
https://rstyle.me/+FZ_mFh_2Nnz6qKh7b_A0BQ
https://liketk.it/4mV2l
https://rstyle.me/+Hnz-zKy9Vn4GkRzgmopygQ
https://rstyle.me/+Yp7J__1WyTVPTh36W40y4A
https://rstyle.me/+UrPkdHXoNhesCSKddLGP7g
https://rstyle.me/+Hnz-zKy9Vn4GkRzgmopygQ
https://rstyle.me/+FZ_mFh_2Nnz6qKh7b_A0BQ
https://rstyle.me/+VU_FrieYNvAXmGbfI4cOQA
https://rstyle.me/+DFYXaZysWGPQ-UUDPYqpWg
https://rstyle.me/+6qURbBIf__r_Y201f_4lEA
https://rstyle.me/+jXhSPfj2Wal4VSkGF6SEIg
https://rstyle.me/+x8MaxbJ3RwPB6UMPLr2q0w
https://rstyle.me/+ZMShBYd3sfDacqKkuvvDtw
https://rstyle.me/+5A5epAytg965PE_M1SFKaQ
https://rstyle.me/+mxWXdGMbDCop4h6B6lwmIg
https://rstyle.me/+JXhOXVlhAlXU9n9N9gbvvg
https://rstyle.me/+FZ_mFh_2Nnz6qKh7b_A0BQ
https://www.liketoknow.it/rosegoldfashionblog
https://www.rosegoldfashionblog.com
https://poshmark.com/closet/kerrik3
https://amzn.to/3SB5MaV",https://www.youtube.com/watch?v=23k63UUNCNA,"{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'Essential Easy Tee', 'cotton': 100}
{'item': 'Classic Suiting Blazer', 'materials': 'No body material info available.'}
{'item': 'Curve Love Ultra High Rise 90s Straight Jean', 'cotton': 99, 'elastane': 1}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'The A&F Scarlett Mini Skort', 'polyester': 80, 'viscose': 16, 'elastane': 4}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'The A&F Scarlett Mini Skort', 'polyester': 80, 'viscose': 16, 'elastane': 4}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'The A&F Scarlett Wrap Mini Skort', 'polyester': 80, 'viscose': 16, 'elastane': 4}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
"
Abercrombie and Fitch Haul 2023 | What&#39;s New at Abercrombie,https://liketk.it/4mIfE,https://www.youtube.com/watch?v=tohylT_hhh8,"{'error': 'Link no longer available or missing data.'}
"
ABERCROMBIE AND FITCH HAUL | WINTER TO SPRING 2024 | EVERYTHING ON SALE,"https://community.abercrombie.com/s/kerri.k
https://rstyle.me/+qEuJsrMskKNYjt2ItJ9MWA
https://rstyle.me/+5tF1jkg7H5mG5imHp4hH5g
https://rstyle.me/+A5u_dNKoxsVhAaeGC9xGUg
https://rstyle.me/+8hnLxrBiNqum5Cn8JKUSMA
https://rstyle.me/+PkIb6Gko3f-rnVuX14kDTw
https://rstyle.me/+lK7t_-8Lrk-rp89ybRy1TA
https://rstyle.me/+5w8ug--lJy--D70s3r6MzA
https://rstyle.me/+DNaJF808ncqwVfSRqryeOA
https://rstyle.me/+cTR9sXJ4MShxMSu9eRuNkQ
https://rstyle.me/+aBoIG0FMPyqpJxP77YBNlg
https://rstyle.me/+rDNxBX8B1faxl6v4pRUtiQ
https://rstyle.me/+4hr7RLeMkDhFWYctAm9JjQ
https://rstyle.me/+xqdtFjbGZNK7kqW74C_j5w
https://rstyle.me/+-sKWdZyDdqJaWSrIFGu2HQ
https://rstyle.me/+6dacIV-nJjxQAu3O3b1boA
https://rstyle.me/+Ll5WUDYhADvJAYF68D8Iwg
https://rstyle.me/+6cZ5IEuV6i3MAAz4UJ_Ndg
https://rstyle.me/+8GQJSXZrReZUgOgPqeaSCg
https://www.liketoknow.it/rosegoldfashionblog
https://www.rosegoldfashionblog.com
https://poshmark.com/closet/kerrik3
https://amzn.to/3SB5MaV",https://www.youtube.com/watch?v=aDLir9iINss,"{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'LuxeLoft Crew Sweater', 'viscose': 52, 'polyester': 28, 'nylon': 20}
{'item': 'Curve Love High Rise Loose Jean', 'cotton': 78, 'lyocell': 22}
{'item': 'Curve Love High Rise Loose Jean', 'cotton': 77, 'lyocell': 23}
{'item': 'Cutoff Classic Sunday Crew', 'cotton': 60, 'polyester': 40}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'Shrunken Sunday Hooded Full-Zip', 'cotton': 70, 'polyester': 30}
{'item': 'YPB sculptLUX Curve Love 7/8-Length Leggings', 'polyester': 78, 'elastane': 22}
{'item': 'The A&F Scarlett Mini Skort', 'polyester': 80, 'viscose': 16, 'elastane': 4}
{'item': 'Classic Suiting Blazer', 'materials': 'No body material info available.'}
{'item': 'Glossy Slim Cardigan', 'viscose': 77, 'nylon': 23}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'Cotton-Blend Seamless Fabric Tank Bodysuit', 'materials': 'No body material info available.'}
{'item': 'Curve Love Mid Rise 90s Straight Jean', 'cotton': 99, 'elastane': 1}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
"
ABERCROMBIE AND FITCH HAUL | CHATTY TRY ON HAUL 2024 #abercrombie #tryon,"https://community.abercrombie.com/s/kerri.k/shop/us/p/essential-scoopneck-tank-48011319?faceout=model&seq=11
https://community.abercrombie.com/s/kerri.k/shop/us/p/cropped-squareneck-rib-tank-54531319?faceout=model&seq=01
https://community.abercrombie.com/s/kerri.k/shop/us/p/essential-sunday-sweatpant-55096328?seq=05
https://community.abercrombie.com/s/kerri.k/shop/us/p/shrunken-sunday-hooded-full-zip-55098821?faceout=model&seq=05
https://community.abercrombie.com/s/kerri.k/shop/us/p/mini-sunday-half-zip-55098820?faceout=model&seq=06
https://community.abercrombie.com/s/kerri.k/shop/us/p/sunday-half-zip-hoodie-55097823?seq=01
https://community.abercrombie.com/s/kerri.k/shop/us/p/ypb-cross-body-bag-52042819?faceout=model&seq=12
https://community.abercrombie.com/s/kerri.k/shop/us/p/performance-polo-52849819?faceout=model&seq=01
https://community.abercrombie.com/s/kerri.k/shop/us/p/curve-love-high-rise-loose-jean-55497987?faceout=model&seq=26
https://liketk.it/4wThM
https://liketk.it/4wQFk
https://community.abercrombie.com/s/kerri.k/shop/us/p/menswear-mini-skort-52682321?faceout=model&seq=08
https://liketk.it/4wU3E
https://www.liketoknow.it/rosegoldfashionblog
https://www.rosegoldfashionblog.com
https://poshmark.com/closet/kerrik3
https://amzn.to/3SB5MaV
https://community.abercrombie.com/a/kerri.k",https://www.youtube.com/watch?v=uPYI8-W6hPI,"{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'Essential Sunday Sweatpant', 'cotton': 70, 'polyester': 30}
{'item': 'Shrunken Sunday Hooded Full-Zip', 'cotton': 70, 'polyester': 30}
{'item': 'Mini Sunday Half-Zip', 'cotton': 70, 'polyester': 30}
{'item': 'Sunday Half-Zip Hoodie', 'cotton': 70, 'polyester': 30}
{'error': 'Link no longer available or missing data.'}
{'item': 'Performance Polo', 'nylon': 86, 'elastane': 14}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'item': 'The A&F Scarlett Mini Skort', 'polyester': 80, 'viscose': 16, 'elastane': 4}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
{'error': 'Link no longer available or missing data.'}
"
